ID,modes,localidad,Sexo,T2_Q13
ID03090250151939,Public transport,San Cristobal,Mujeres,Trabajando
ID03090250181940,Active Transport,San Cristobal,Hombres,Trabajando
ID03090270131946,Public transport,San Cristobal,Mujeres,Trabajando
ID03090270341949,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03090280031941,Private Transport,San Cristobal,Hombres,Trabajando
ID03090280151942,Private Transport,San Cristobal,Hombres,Trabajando
ID03090280261943,Active Transport,San Cristobal,Hombres,Buscando trabajo
ID03090280291947,Private Transport,San Cristobal,Mujeres,Oficios del hogar
ID03090280331944,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03090300061960,Active Transport,San Cristobal,Mujeres,Trabajando
ID03090300181961,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03100020061923,Active Transport,San Cristobal,Mujeres,Buscando trabajo
ID03100020431915,Active Transport,San Cristobal,Hombres,Trabajando
ID03100090091918,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100090161920,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100100140610,Private Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100100241599,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03100100270611,Public transport,San Cristobal,Mujeres,Trabajando
ID03100100341602,Private Transport,San Cristobal,Mujeres,Trabajando
ID03100120650870,Public transport,San Cristobal,Mujeres,Trabajando
ID03100120700872,Active Transport,San Cristobal,Hombres,Trabajando
ID03100120790919,Active Transport,San Cristobal,Hombres,Pensionado
ID03100140360860,Active Transport,San Cristobal,Hombres,Trabajando
ID03100140370862,Active Transport,San Cristobal,Mujeres,Trabajando
ID03100140420861,Active Transport,San Cristobal,Mujeres,Trabajando
ID03100160030605,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03100160181595,Private Transport,San Cristobal,Mujeres,Trabajando
ID03100170390867,Active Transport,San Cristobal,Hombres,Pensionado
ID03100170550869,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100230301601,Private Transport,San Cristobal,Hombres,Trabajando
ID03100230360614,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100230690616,Private Transport,San Cristobal,Mujeres,Trabajando
ID03100230781603,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100320040596,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03100320091587,Active Transport,San Cristobal,Mujeres,Trabajando
ID03100370031598,Active Transport,San Cristobal,Mujeres,Pensionado
ID03100370070607,Public transport,San Cristobal,Mujeres,Trabajando
ID03100370091596,Public transport,San Cristobal,Hombres,Trabajando
ID03100370150608,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100370280609,Active Transport,San Cristobal,Hombres,Trabajando
ID03100390361592,Public transport,San Cristobal,Mujeres,Trabajando
ID03100390400602,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100390480601,Active Transport,San Cristobal,Hombres,Trabajando
ID03100390571593,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100400031588,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100400160598,Private Transport,San Cristobal,Hombres,Trabajando
ID03100400190599,Private Transport,San Cristobal,Hombres,Pensionado
ID03100400281597,Public transport,San Cristobal,Mujeres,Trabajando
ID03100400311589,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100440030879,Public transport,San Cristobal,Mujeres,Trabajando
ID03100440130880,Public transport,San Cristobal,Hombres,Trabajando
ID03100440370881,Private Transport,San Cristobal,Hombres,Trabajando
ID03100440450883,Public transport,San Cristobal,Mujeres,Trabajando
ID03100440580884,Active Transport,San Cristobal,Mujeres,Trabajando
ID03100500220868,Active Transport,San Cristobal,Mujeres,Estudiando
ID03100500360877,Active Transport,San Cristobal,Hombres,Trabajando
ID03100520160886,Public transport,San Cristobal,Hombres,Trabajando
ID03100520500888,Active Transport,San Cristobal,Mujeres,Trabajando
ID03110150060393,Active Transport,San Cristobal,Mujeres,Trabajo de cuidado
ID03110150270394,Public-Informal,San Cristobal,Mujeres,Trabajando
ID03110150450395,Public transport,San Cristobal,Mujeres,Trabajando
ID03110220230854,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110220650857,Public transport,San Cristobal,Mujeres,Trabajando
ID03110220670858,Private Transport,San Cristobal,Mujeres,Trabajando
ID03110220680866,Public transport,San Cristobal,Hombres,Trabajando
ID03110240270852,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110240460853,Active Transport,San Cristobal,Hombres,Trabajando
ID03110250180396,Active Transport,San Cristobal,Hombres,Trabajando
ID03110250211911,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110250531914,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110260450874,Public transport,San Cristobal,Hombres,Trabajando
ID03110260610876,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110260730923,Active Transport,San Cristobal,Mujeres,Trabajando
ID03110280041689,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110280101893,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110280191894,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110280281896,Active Transport,San Cristobal,Mujeres,No trabajó pero tenía trabajo
ID03110290071903,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110290091902,Active Transport,San Cristobal,Hombres,Estudiando
ID03110290331905,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110290361906,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110320071582,Public-Private,San Cristobal,Hombres,Trabajando
ID03110320090592,Private Transport,San Cristobal,Mujeres,Trabajando
ID03110320150594,Private Transport,San Cristobal,Mujeres,Trabajando
ID03110320271584,Public transport,San Cristobal,Mujeres,Trabajando
ID03110330121909,Public transport,San Cristobal,Mujeres,Pensionado
ID03110330181910,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03110330221916,Active Transport,San Cristobal,Hombres,Incapacitado permanente
ID03110340070593,Private Transport,San Cristobal,Hombres,Trabajando
ID03110340101583,Public transport,San Cristobal,Hombres,Trabajando
ID03110340181585,Active Transport,San Cristobal,Hombres,Pensionado
ID03110340210595,Active Transport,San Cristobal,Hombres,Trabajando
ID03110460061577,Active Transport,San Cristobal,Mujeres,Trabajando
ID03110460120587,Active Transport,San Cristobal,Mujeres,Estudiando
ID03110460180588,Active Transport,San Cristobal,Mujeres,Pensionado
ID03110460331579,Public transport,San Cristobal,Mujeres,Trabajando
ID03110460420589,Public transport,San Cristobal,Hombres,Incapacitado
ID03110480030590,Public transport,San Cristobal,Hombres,Trabajando
ID03110480121580,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110480391581,Public transport,San Cristobal,Mujeres,Trabajando
ID03120020190913,Public transport,San Cristobal,Mujeres,Trabajando
ID03120020220904,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03120020240890,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03120020370916,Active Transport,San Cristobal,Hombres,Deporte
ID03120090091965,888,San Cristobal,Hombres,Oficios del hogar
ID03120130340910,Public transport,San Cristobal,Mujeres,Diligencias y tramites
ID03120130370914,Private Transport,San Cristobal,Hombres,Trabajando
ID03120130470915,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03120180031966,Active Transport,San Cristobal,Hombres,Incapacitado permanente
ID03120180191970,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03120180211969,Private Transport,San Cristobal,Mujeres,Diligencias y tramites
ID03120240031622,888,San Cristobal,Hombres,Oficios del hogar
ID03120240160905,Public transport,San Cristobal,Mujeres,Trabajando
ID03120240200908,Private Transport,San Cristobal,Mujeres,Estudiando
ID03120240230909,888,San Cristobal,Mujeres,Oficios del hogar
ID03130060010895,Public transport,San Cristobal,Mujeres,Trabajando
ID03130060160897,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03130060250898,Public transport,San Cristobal,Mujeres,Trabajando
ID03130060290899,Public transport,San Cristobal,Mujeres,Trabajando
ID03130070060900,Public transport,San Cristobal,Hombres,Trabajando
ID03130070230902,888,San Cristobal,Hombres,Trabajando
ID03130070280903,Active Transport,San Cristobal,Hombres,Trabajando
ID03130090031605,888,San Cristobal,Mujeres,Oficios del hogar
ID03130090301606,Private Transport,San Cristobal,Mujeres,Trabajando
ID03130090331607,Public transport,San Cristobal,Mujeres,Trabajando
ID03130090391608,Active Transport,San Cristobal,Mujeres,Pensionado
ID03130100030618,Active Transport,San Cristobal,Mujeres,Trabajando
ID03130100070615,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03130100210619,Public transport,San Cristobal,Hombres,Diligencias y tramites
ID03130100240631,Public transport,San Cristobal,Mujeres,Trabajando
ID03130100820620,Active Transport,San Cristobal,Mujeres,Pensionado
ID03130140121614,Public transport,San Cristobal,Mujeres,Trabajando
ID03130140571615,Active Transport,San Cristobal,Hombres,Buscando trabajo
ID03130140690917,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03130140760918,Public transport,San Cristobal,Hombres,Trabajando
ID03130150040625,Public transport,San Cristobal,Hombres,Estudiando
ID03130150130621,Public transport,San Cristobal,Mujeres,Estudiando
ID03130150450622,Active Transport,San Cristobal,Hombres,Estudiando
ID03130150570623,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03130150690624,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03130160091616,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03130170180628,Active Transport,San Cristobal,Hombres,Pensionado
ID03130290131610,Private Transport,San Cristobal,Hombres,Trabajando
ID03130290391612,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03130370330892,Private Transport,San Cristobal,Mujeres,Estudiando
ID03130370420893,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03130370440894,Public transport,San Cristobal,Hombres,Trabajando
ID03130370780912,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140010271535,Public transport,San Cristobal,Mujeres,Trabajando
ID03140010301542,Public transport,San Cristobal,Mujeres,Trabajando
ID03140030150534,Active Transport,San Cristobal,Hombres,Buscando trabajo
ID03140030210533,Active Transport,San Cristobal,Hombres,Deporte
ID03140030240528,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140030270527,Active Transport,San Cristobal,Hombres,Pensionado
ID03140030300531,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140050060529,Public-Private,San Cristobal,Hombres,Trabajando
ID03140050090541,Public transport,San Cristobal,Hombres,Trabajando
ID03140050120530,Active Transport,San Cristobal,Hombres,Trabajando
ID03140050330782,Private Transport,San Cristobal,Hombres,Trabajando
ID03140060090778,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03140060390779,Active Transport,San Cristobal,Mujeres,Buscando trabajo
ID03140060490780,Public transport,San Cristobal,Hombres,Trabajando
ID03140060530781,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140060561531,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140170151533,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140170330784,Public transport,San Cristobal,Mujeres,Diligencias y tramites
ID03140170390532,Active Transport,San Cristobal,Hombres,Trabajando
ID03140170420783,Active Transport,San Cristobal,Hombres,Trabajando
ID03140170561534,Public transport,San Cristobal,Mujeres,Trabajando
ID03140180240535,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140180420542,Active Transport,San Cristobal,Mujeres,Incapacitado
ID03140180450792,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140240151536,Public transport,San Cristobal,Hombres,Trabajando
ID03140240180787,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140290060389,Public transport,San Cristobal,Mujeres,Trabajando
ID03140290120386,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140290180388,Public transport,San Cristobal,Mujeres,Diligencias y tramites
ID03140370060788,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140370181538,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140370300536,Public transport,San Cristobal,Mujeres,Trabajando
ID03140370331537,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03140370360537,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140510121529,Public transport,San Cristobal,Mujeres,Trabajando
ID03140510150791,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03140510390540,Active Transport,San Cristobal,Mujeres,Incapacitado
ID03140510421541,Public transport,San Cristobal,Mujeres,Trabajando
ID03150010030806,Active Transport,San Cristobal,Mujeres,Pensionado
ID03150010061549,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150010090548,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150010180793,Private Transport,San Cristobal,Mujeres,Incapacitado
ID03150010210796,Active Transport,San Cristobal,Hombres,Trabajando
ID03150010301544,Public transport,San Cristobal,Mujeres,Trabajando
ID03150010330543,Public transport,San Cristobal,Mujeres,No trabajó pero tenía trabajo
ID03150010360556,Public transport,San Cristobal,Mujeres,Trabajando
ID03150020120545,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150020271545,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150020360794,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03150040031790,Public transport,San Cristobal,Hombres,Buscando trabajo
ID03150040061793,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150040091795,Public transport,San Cristobal,Hombres,Trabajando
ID03150040151794,Active Transport,San Cristobal,Hombres,Trabajando
ID03150040301791,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03150040331792,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150070060789,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150070090538,Active Transport,San Cristobal,Hombres,Trabajando
ID03150070121546,Public transport,San Cristobal,Mujeres,Trabajando
ID03150070391540,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150070450790,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03150080150798,Public transport,San Cristobal,Hombres,Trabajando
ID03150080360797,Active Transport,San Cristobal,Hombres,Incapacitado
ID03150080511547,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150120060358,Public transport,San Cristobal,Hombres,Trabajando
ID03150120150359,888,San Cristobal,Mujeres,Oficios del hogar
ID03150120180360,Public transport,San Cristobal,Mujeres,Trabajando
ID03150120210365,Public transport,San Cristobal,Mujeres,Trabajando
ID03150120240364,Public transport,San Cristobal,Mujeres,Trabajando
ID03150130241776,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150130451777,Private Transport,San Cristobal,Hombres,Trabajando
ID03150140031806,Public transport,San Cristobal,Mujeres,Trabajando
ID03150140051811,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150140061807,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150140141809,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150140301810,Active Transport,San Cristobal,Hombres,Trabajando
ID03150150061797,888,San Cristobal,Mujeres,Oficios del hogar
ID03150150181798,Public transport,San Cristobal,Hombres,Trabajando
ID03150150241799,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150150331800,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150160060288,Public transport,San Cristobal,Hombres,Trabajando
ID03150160210293,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150160240290,Active Transport,San Cristobal,Hombres,Trabajando
ID03150180031781,Public transport,San Cristobal,Mujeres,Trabajando
ID03150180061782,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150180511775,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03150200061803,Public transport,San Cristobal,Hombres,Estudiando
ID03150200131801,Private Transport,San Cristobal,Hombres,Trabajando
ID03150200211805,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150210090294,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03150210240279,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150210270295,Private Transport,San Cristobal,Hombres,Trabajando
ID03150220180284,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03150220210285,Private Transport,San Cristobal,Hombres,Trabajando
ID03150220240286,Active Transport,San Cristobal,Hombres,Trabajando
ID03150220420287,Private Transport,San Cristobal,Mujeres,Trabajando
ID03150240030800,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150240061551,Public transport,San Cristobal,Mujeres,Trabajando
ID03150240090549,Active Transport,San Cristobal,Hombres,Trabajando
ID03150240120550,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150240240555,Active Transport,San Cristobal,Hombres,Trabajando
ID03150240330801,Public transport,San Cristobal,Mujeres,Trabajando
ID03150240361550,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150240390805,Public transport,San Cristobal,Mujeres,Trabajando
ID03150260180277,Active Transport,San Cristobal,Hombres,Trabajando
ID03150260300282,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150260330308,Private Transport,San Cristobal,Hombres,Trabajando
ID03150260390278,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150300030299,Active Transport,San Cristobal,Hombres,Trabajo de cuidado
ID03150300180281,888,San Cristobal,Mujeres,Oficios del hogar
ID03150300270289,Public transport,San Cristobal,Hombres,Trabajando
ID03150300300296,Private Transport,San Cristobal,Hombres,Trabajando
ID03150310061770,Public transport,San Cristobal,Mujeres,Trabajando
ID03150310351773,Private Transport,San Cristobal,Hombres,Trabajando
ID03150340210309,Active Transport,San Cristobal,Mujeres,Diligencias y tramites
ID03150340420306,Public transport,San Cristobal,Mujeres,Trabajando
ID03150340480305,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150360271780,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150360301779,Public transport,San Cristobal,Mujeres,Diligencias y tramites
ID03150770150551,Active Transport,San Cristobal,Hombres,Trabajando
ID03150770210802,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150770270552,Public transport,San Cristobal,Mujeres,Trabajando
ID03150770330804,888,San Cristobal,Hombres,Incapacitado permanente
ID03150770360553,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150770390803,Public transport,San Cristobal,Mujeres,No trabajó pero tenía trabajo
ID03150770660554,Private Transport,San Cristobal,Hombres,Trabajando
ID03150770721554,Private Transport,San Cristobal,Hombres,Trabajando
ID03150980150300,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150980210301,Private Transport,San Cristobal,Hombres,Trabajando
ID03150980300304,Public transport,San Cristobal,Mujeres,Trabajando
ID03160010040520,Active Transport,San Cristobal,Mujeres,Trabajando
ID03160010060771,Active Transport,San Cristobal,Mujeres,Trabajando
ID03160050030777,Active Transport,San Cristobal,Hombres,Trabajando
ID03160050051758,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03160050061521,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160050061528,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03160050080272,Public transport,San Cristobal,Mujeres,Trabajando
ID03160060020258,Public transport,San Cristobal,Mujeres,Pensionado
ID03160060020270,Active Transport,San Cristobal,Hombres,Trabajando
ID03160060050260,Public transport,San Cristobal,Hombres,No trabajó pero tenía trabajo
ID03160060050262,Private Transport,San Cristobal,Hombres,Trabajando
ID03160110010510,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160110021520,Public transport,San Cristobal,Hombres,Trabajando
ID03160110060770,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160110070519,Public transport,San Cristobal,Hombres,Trabajando
ID03160490021764,Public transport,San Cristobal,Mujeres,Trabajando
ID03160490031522,Public transport,San Cristobal,Hombres,Pensionado
ID03160490051523,Public transport,San Cristobal,Hombres,Trabajando
ID03160490090772,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160490120325,Active Transport,San Cristobal,Mujeres,Trabajando
ID03160490180326,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160490270327,Public transport,San Cristobal,Mujeres,Trabajando
ID03160490330332,Active Transport,San Cristobal,Hombres,Trabajando
ID03160490360333,Public transport,San Cristobal,Mujeres,Trabajando
ID03160510060367,Active Transport,San Cristobal,Mujeres,Trabajando
ID03160510090369,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160510270370,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160510390372,Public transport,San Cristobal,Mujeres,Trabajando
ID03160610060759,Active Transport,San Cristobal,Mujeres,Trabajando
ID03160610090317,Public transport,San Cristobal,Mujeres,Diligencias y tramites
ID03160610180319,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160610210320,Public transport,San Cristobal,Mujeres,Trabajando
ID03160610240321,Public transport,San Cristobal,Hombres,Trabajando
ID03160620010760,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160620010761,Public transport,San Cristobal,Mujeres,Deporte
ID03160620010763,Public transport,San Cristobal,Mujeres,Pensionado
ID03160620030776,Active Transport,San Cristobal,Hombres,Trabajando
ID03160620090512,Active Transport,San Cristobal,Hombres,Trabajando
ID03160630011761,Active Transport,San Cristobal,Hombres,Trabajando
ID03160630011762,Public transport,San Cristobal,Mujeres,Trabajando
ID03160630030329,Active Transport,San Cristobal,Mujeres,Trabajando
ID03160630031767,Public transport,San Cristobal,Hombres,Pensionado
ID03160630041759,888,San Cristobal,Hombres,Descansando
ID03160690041510,Public transport,San Cristobal,Mujeres,Trabajando
ID03160690041512,Active Transport,San Cristobal,Hombres,Trabajando
ID03160690071508,Active Transport,San Cristobal,Hombres,Trabajando
ID03160690091527,Public transport,San Cristobal,Mujeres,Trabajando
ID03170010051765,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03170010060322,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03170010090507,Active Transport,San Cristobal,Hombres,Trabajando
ID03170020070522,Public transport,San Cristobal,Hombres,Trabajando
ID03170020080773,Active Transport,San Cristobal,Hombres,Trabajando
ID03170020081524,Public transport,San Cristobal,Mujeres,Trabajando
ID03170040060316,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03170040120315,Public transport,San Cristobal,Mujeres,Trabajando
ID03170050030310,Public transport,San Cristobal,Mujeres,Trabajando
ID03170050090255,Private Transport,San Cristobal,Hombres,Trabajando
ID03170060030311,Public transport,San Cristobal,Mujeres,Trabajando
ID03170060090312,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03170070030313,Active Transport,San Cristobal,Hombres,Trabajando
ID03170140060323,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03170140150324,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03170150020758,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03170150040757,Active Transport,San Cristobal,Mujeres,Trabajo de cuidado
ID03170150070508,Public transport,San Cristobal,Hombres,Pensionado
ID03170160011757,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03170170021507,Active Transport,San Cristobal,Hombres,Trabajando
ID03170170050521,Public transport,San Cristobal,Mujeres,Trabajando
ID03180010041505,Public transport,San Cristobal,Mujeres,Trabajando
ID03180010070754,Active Transport,San Cristobal,Mujeres,Trabajando
ID03180010071501,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03180120031816,Public transport,San Cristobal,Mujeres,Trabajando
ID03180120121818,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03180130040253,Public transport,San Cristobal,Mujeres,Trabajando
ID03180130051754,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03180130071751,Active Transport,San Cristobal,Hombres,Estudiando
ID03180140020753,Active Transport,San Cristobal,Mujeres,Trabajando
ID03180140050504,Private Transport,San Cristobal,Hombres,Trabajando
ID03180140091828,Active Transport,San Cristobal,Mujeres,Trabajando
ID03180190031820,Public transport,San Cristobal,Mujeres,Trabajando
ID03180190051504,Public transport,San Cristobal,Hombres,Trabajando
ID03180190061821,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03180190091822,Private Transport,San Cristobal,Mujeres,Diligencias y tramites
ID03180210081752,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03180210121827,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03180220020755,Public transport,San Cristobal,Mujeres,Trabajando
ID03180220091823,Public transport,San Cristobal,Hombres,Trabajando
ID03180220121824,Private Transport,San Cristobal,Hombres,Trabajando
ID03180220181825,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03180570041815,Public transport,San Cristobal,Hombres,Pensionado
ID03180570061814,Public transport,San Cristobal,Hombres,Diligencias y tramites
ID03190050060344,Public transport,San Cristobal,Hombres,Trabajando
ID03190050090374,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03190050150347,Private Transport,San Cristobal,Hombres,Trabajando
ID03190050270384,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03190060150342,Private Transport,San Cristobal,Mujeres,Trabajando
ID03190060330355,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03190160041843,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03190160121844,Active Transport,San Cristobal,Mujeres,Trabajando
ID03190160151845,Active Transport,San Cristobal,Mujeres,Trabajando
ID03190160211846,Active Transport,San Cristobal,Mujeres,Pensionado
