ID,localidad,TPC,Tpriv,Tinf,Bic,Cami,Trans,cocat,modes
ID03050090161991,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03050090181992,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03050090211993,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03050090241994,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03050090371995,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03050110251976,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03050110331977,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03050120120928,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03050120360931,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03050130091978,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03050130121979,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03050130221980,San Cristóbal,Public transport,Private transport,,,,,Public transport-Private transport,Public-Private
ID03050140120920,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03050140150921,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03050140550926,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03050140840930,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03050170180924,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03050170300925,San Cristóbal,,,,Bycicle,Walk,,Bycicle-Walk,Active Transport
ID03050170330927,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03050170370934,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03050170530935,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03050230121990,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03050450090936,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03050450220937,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03050450480941,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03050740091984,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03050740131985,San Cristóbal,Public transport,Private transport,,,Walk,,Public transport-Private transport-Walk,Public-Private
ID03050740161986,San Cristóbal,,,,,,Transmicable,Transmicable,TransMicable
ID03050740191988,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03050740221987,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090070031931,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090070061932,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090070131934,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03090070161935,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090110031926,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03090110061927,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090110091928,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03090110191929,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03090190071951,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03090190121953,San Cristóbal,Public transport,Private transport,,,,,Public transport-Private transport,Public-Private
ID03090200031954,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03090200061955,San Cristóbal,Public transport,Private transport,,,Walk,,Public transport-Private transport-Walk,Public-Private
ID03090200121956,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03090200151957,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03090200241958,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090250071936,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090250101937,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03090250121938,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090250151939,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03090250181940,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03090270091945,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03090270131946,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03090270271948,San Cristóbal,,,,,,,,888
ID03090270341949,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03090270411950,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090280031941,San Cristóbal,,,,,,,,888
ID03090280151942,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03090280261943,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03090280291947,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03090280331944,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090300061960,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03090300181961,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03090300331972,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100020061923,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100020431915,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100090091918,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100090161920,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100100140610,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100100191600,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100100241599,San Cristóbal,,,,Bycicle,,,Bycicle,Active Transport
ID03100100270611,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100100341602,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100120350864,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100120600865,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100120650870,San Cristóbal,,,Informal transport,,Walk,,Informal transport-Walk,Informal transport
ID03100120700872,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100120790919,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100140040859,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03100140360860,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100140370862,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03100140420861,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100140680863,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100160030605,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100160151594,San Cristóbal,Public transport,,,Bycicle,Walk,,Public transport-Bycicle-Walk,Public transport
ID03100160181595,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100160390612,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03100170390867,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100170550869,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100170820882,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100230240613,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100230301601,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100230360614,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100230690616,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100230781603,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100320040596,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100320091587,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100370031598,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100370070607,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100370091596,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100370150608,San Cristóbal,Public transport,,Informal transport,,Walk,,Public transport-Informal transport-Walk,Public-Informal
ID03100370280609,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100390361592,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100390400602,San Cristóbal,,,,,,,,888
ID03100390480601,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100390571593,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100400031588,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100400160598,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03100400190599,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100400281597,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100400311589,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100440030879,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100440130880,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100440370881,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100440450883,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03100440580884,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100500220868,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100500360877,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03100500560878,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03100520160886,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03100520500888,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03110150030392,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03110150060393,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110150210391,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03110150270394,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110150450395,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110220230854,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03110220650857,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110220670858,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03110220680866,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110240270852,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110240460853,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03110250180396,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03110250211911,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110250281912,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110250531914,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110260280873,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110260450874,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110260610876,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110260730923,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03110280041689,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03110280101893,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110280191894,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110280221895,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03110280281896,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110290071903,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110290091902,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03110290331905,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03110290361906,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110320041578,San Cristóbal,Public transport,Private transport,,,,,Public transport-Private transport,Public-Private
ID03110320071582,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110320090592,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110320150594,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03110320271584,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110330091908,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03110330121909,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110330181910,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110330221916,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110340070593,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03110340101583,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03110340181585,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110340210595,San Cristóbal,Public transport,Private transport,,,Walk,,Public transport-Private transport-Walk,Public-Private
ID03110460061577,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
