ID,modes,localidad,Sexo,T1_Q15
ID03100160390612,Private Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100170390867,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03100170550869,Public transport,San Cristobal,Mujeres,Trabajando
ID03100170820882,Public transport,San Cristobal,Hombres,Trabajando
ID03100230240613,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03100230301601,Active Transport,San Cristobal,Hombres,No está trabajando
ID03100230360614,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100230690616,Public transport,San Cristobal,Mujeres,Trabajando
ID03100230781603,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03100320040596,Public transport,San Cristobal,Mujeres,Trabajando
ID03100320091587,Active Transport,San Cristobal,Mujeres,Trabajando
ID03100370031598,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03100370070607,Active Transport,San Cristobal,Mujeres,Trabajando
ID03100370091596,Public transport,San Cristobal,Hombres,Trabajando
ID03100370150608,Public-Informal,San Cristobal,Mujeres,Trabajando
ID03100370280609,Public transport,San Cristobal,Hombres,Estudiando
ID03100390361592,Active Transport,San Cristobal,Mujeres,Trabajando
ID03100390400602,888,San Cristobal,Mujeres,Oficios del hogar
ID03100390480601,Public transport,San Cristobal,Hombres,Trabajando
ID03100390571593,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03100400031588,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100400160598,Private Transport,San Cristobal,Hombres,Trabajando
ID03100400190599,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03100400281597,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03100400311589,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03100440030879,Public transport,San Cristobal,Mujeres,Trabajando
ID03100440130880,Public transport,San Cristobal,Hombres,Trabajando
ID03100440370881,Public transport,San Cristobal,Hombres,Trabajando
ID03100440450883,Private Transport,San Cristobal,Mujeres,No está trabajando
ID03100440580884,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03100500220868,Public transport,San Cristobal,Mujeres,Estudiando
ID03100500360877,Active Transport,San Cristobal,Hombres,Trabajando
ID03100500560878,Public transport,San Cristobal,Hombres,Trabajando
ID03100520160886,Public transport,San Cristobal,Hombres,Estudiando
ID03100520500888,Private Transport,San Cristobal,Mujeres,Trabajando
ID03110150030392,Public transport,San Cristobal,Mujeres,Trabajando
ID03110150060393,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110150210391,Private Transport,San Cristobal,Hombres,Trabajando
ID03110150270394,Public transport,San Cristobal,Mujeres,Trabajando
ID03110150450395,Public transport,San Cristobal,Mujeres,Otros
ID03110220230854,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110220650857,Public transport,San Cristobal,Mujeres,Trabajando
ID03110220670858,Private Transport,San Cristobal,Mujeres,Trabajando
ID03110220680866,Public transport,San Cristobal,Hombres,Trabajando
ID03110240270852,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110240460853,Active Transport,San Cristobal,Hombres,Trabajando
ID03110250180396,Active Transport,San Cristobal,Hombres,Trabajando
ID03110250211911,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110250281912,Public transport,San Cristobal,Mujeres,Trabajando
ID03110250531914,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110260280873,Public transport,San Cristobal,Hombres,Trabajando
ID03110260450874,Public transport,San Cristobal,Hombres,Trabajando
ID03110260610876,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110260730923,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110280041689,Private Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110280101893,Public transport,San Cristobal,Mujeres,Trabajando
ID03110280191894,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110280221895,Active Transport,San Cristobal,Hombres,Trabajando
ID03110280281896,Public transport,San Cristobal,Mujeres,Trabajando
ID03110290071903,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110290091902,Public transport,San Cristobal,Hombres,Estudiando
ID03110290331905,Public transport,San Cristobal,Mujeres,Estudiando
ID03110290361906,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110320041578,Public-Private,San Cristobal,Hombres,Otros
ID03110320071582,Public transport,San Cristobal,Hombres,Trabajando
ID03110320090592,Public transport,San Cristobal,Mujeres,Trabajando
ID03110320150594,Private Transport,San Cristobal,Mujeres,Trabajando
ID03110320271584,Public transport,San Cristobal,Mujeres,Trabajando
ID03110330091908,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03110330121909,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110330181910,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03110330221916,Public transport,San Cristobal,Hombres,No está trabajando
ID03110340070593,Private Transport,San Cristobal,Hombres,Trabajando
ID03110340101583,Public transport,San Cristobal,Hombres,Trabajando
ID03110340181585,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03110340210595,Public-Private,San Cristobal,Hombres,Trabajando
ID03110460061577,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110460120587,Public transport,San Cristobal,Mujeres,Estudiando
ID03110460180588,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03110460331579,Active Transport,San Cristobal,Mujeres,Trabajando
ID03110460420589,Public transport,San Cristobal,Hombres,Trabajando
ID03110480030590,Public transport,San Cristobal,Hombres,Trabajando
ID03110480121580,Active Transport,San Cristobal,Mujeres,No está trabajando
ID03110480291586,Public transport,San Cristobal,Hombres,Trabajando
ID03110480391581,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03120020190913,Public transport,San Cristobal,Mujeres,Trabajando
ID03120020220904,Private Transport,San Cristobal,Mujeres,Oficios del hogar
ID03120020240890,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03120020370916,Active Transport,San Cristobal,Hombres,Otros
ID03120090091965,Public transport,San Cristobal,Hombres,Trabajando
ID03120130270907,Public transport,San Cristobal,Mujeres,Trabajando
ID03120130340910,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03120130370914,Private Transport,San Cristobal,Hombres,Trabajando
ID03120130470915,Public transport,San Cristobal,Mujeres,Trabajando
ID03120180031966,Public transport,San Cristobal,Hombres,No está trabajando
ID03120180061967,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03120180151968,Public transport,San Cristobal,Mujeres,Trabajando
ID03120180191970,Private Transport,San Cristobal,Mujeres,Trabajando
ID03120180211969,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03120240031622,888,San Cristobal,Hombres,Oficios del hogar
ID03120240160905,Public transport,San Cristobal,Mujeres,Estudiando
ID03120240200908,Public transport,San Cristobal,Mujeres,Estudiando
ID03120240230909,Public transport,San Cristobal,Mujeres,Trabajando
ID03130060010895,Active Transport,San Cristobal,Mujeres,Trabajando
ID03130060100896,Public transport,San Cristobal,Mujeres,Trabajando
ID03130060160897,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03130060250898,Public transport,San Cristobal,Mujeres,Trabajando
ID03130060290899,Public transport,San Cristobal,Mujeres,Trabajando
ID03130070060900,Public transport,San Cristobal,Hombres,Trabajando
ID03130070210901,Private Transport,San Cristobal,Hombres,Trabajando
ID03130070230902,Active Transport,San Cristobal,Hombres,Trabajando
ID03130070280903,Public transport,San Cristobal,Hombres,Trabajando
ID03130090031605,888,San Cristobal,Mujeres,Oficios del hogar
ID03130090301606,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03130090331607,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03130090391608,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03130100030618,Active Transport,San Cristobal,Mujeres,Trabajando
ID03130100070615,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03130100210619,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03130100240631,Public transport,San Cristobal,Mujeres,Trabajando
ID03130100820620,888,San Cristobal,Mujeres,Oficios del hogar
ID03130140121614,Public transport,San Cristobal,Mujeres,Trabajando
ID03130140271621,888,San Cristobal,Hombres,Trabajando
ID03130140571615,Active Transport,San Cristobal,Hombres,No está trabajando
ID03130140690917,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03130140760918,Public transport,San Cristobal,Hombres,Trabajando
ID03130150040625,Public transport,San Cristobal,Hombres,Estudiando
ID03130150130621,Active Transport,San Cristobal,Mujeres,Estudiando
ID03130150450622,Public transport,San Cristobal,Hombres,Estudiando
ID03130150570623,Public transport,San Cristobal,Mujeres,Trabajando
ID03130150690624,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03130160091616,Private Transport,San Cristobal,Mujeres,Oficios del hogar
ID03130160331620,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03130170090626,Public transport,San Cristobal,Mujeres,Trabajando
ID03130170180628,Public transport,San Cristobal,Hombres,Trabajando
ID03130170610629,Public transport,San Cristobal,Hombres,Trabajando
ID03130290131610,Private Transport,San Cristobal,Hombres,Trabajando
ID03130290391612,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03130370330892,Public-Private,San Cristobal,Mujeres,Estudiando
ID03130370420893,Active Transport,San Cristobal,Hombres,Otros
ID03130370440894,Public transport,San Cristobal,Hombres,Trabajando
ID03130370780912,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03140010090785,TransMicable,San Cristobal,Mujeres,Trabajando
ID03140010271535,Private Transport,San Cristobal,Mujeres,Trabajando
ID03140010301542,Public transport,San Cristobal,Mujeres,Trabajando
ID03140030150534,Public transport,San Cristobal,Hombres,Trabajando
ID03140030210533,Public transport,San Cristobal,Hombres,Otros
ID03140030240528,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03140030270527,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03140030300531,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140050060529,Public-Private,San Cristobal,Hombres,Trabajando
ID03140050090541,Public transport,San Cristobal,Hombres,Estudiando
ID03140050120530,Active Transport,San Cristobal,Hombres,Trabajando
ID03140050271532,Public transport,San Cristobal,Mujeres,Trabajando
ID03140050330782,Private Transport,San Cristobal,Hombres,Trabajando
ID03140060090778,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03140060390779,Public transport,San Cristobal,Mujeres,Trabajando
ID03140060490780,Public transport,San Cristobal,Hombres,Trabajando
ID03140060530781,Public transport,San Cristobal,Mujeres,Trabajando
ID03140060561531,Public transport,San Cristobal,Mujeres,Estudiando
ID03140170151533,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140170330784,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03140170390532,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03140170420783,888,San Cristobal,Hombres,Trabajando
ID03140170561534,Public transport,San Cristobal,Mujeres,Trabajando
ID03140180240535,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03140180420542,Public transport,San Cristobal,Mujeres,Trabajando
ID03140180450792,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140240151536,Public transport,San Cristobal,Hombres,Trabajando
ID03140240180787,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140290060389,Public transport,San Cristobal,Mujeres,Trabajando
ID03140290120386,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03140290180388,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03140370060788,Public transport,San Cristobal,Mujeres,Trabajando
ID03140370181538,Public transport,San Cristobal,Mujeres,Trabajando
ID03140370300536,Public transport,San Cristobal,Mujeres,Trabajando
ID03140370331537,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03140370360537,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03140510121529,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140510150791,888,San Cristobal,Hombres,No está trabajando
ID03140510390540,Public transport,San Cristobal,Mujeres,Estudiando
ID03140510411543,Active Transport,San Cristobal,Mujeres,Trabajando
ID03140510421541,Public-Private,San Cristobal,Mujeres,Oficios del hogar
ID03150010030806,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150010061549,Public transport,San Cristobal,Mujeres,Trabajando
ID03150010090548,Public transport,San Cristobal,Mujeres,Trabajando
ID03150010180793,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150010210796,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03150010271555,Public transport,San Cristobal,Mujeres,Trabajando
ID03150010301544,Public transport,San Cristobal,Mujeres,No está trabajando
ID03150010330543,Public transport,San Cristobal,Mujeres,Estudiando
ID03150010360556,Public transport,San Cristobal,Mujeres,Trabajando
ID03150020120545,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150020271545,Public-Private,San Cristobal,Mujeres,Oficios del hogar
ID03150020360794,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03150020391548,Public transport,San Cristobal,Mujeres,Trabajando
ID03150040031790,Public transport,San Cristobal,Hombres,Trabajando
ID03150040061793,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150040091795,Public transport,San Cristobal,Hombres,Trabajando
ID03150040151794,Active Transport,San Cristobal,Hombres,Trabajando
ID03150040301791,Active Transport,San Cristobal,Hombres,Trabajando
ID03150040331792,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150070060789,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150070090538,Active Transport,San Cristobal,Hombres,Trabajando
ID03150070121546,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150070150799,Private Transport,San Cristobal,Hombres,Trabajando
ID03150070391540,Public transport,San Cristobal,Mujeres,Trabajando
ID03150070450790,Public transport,San Cristobal,Hombres,Trabajando
ID03150080150798,Public transport,San Cristobal,Hombres,Trabajando
ID03150080360797,Public transport,San Cristobal,Hombres,No está trabajando
ID03150080511547,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150120060358,Public transport,San Cristobal,Hombres,Trabajando
ID03150120150359,888,San Cristobal,Mujeres,Oficios del hogar
ID03150120180360,Public-Private,San Cristobal,Mujeres,Trabajando
ID03150120210365,Public transport,San Cristobal,Mujeres,Trabajando
ID03150120240364,Public transport,San Cristobal,Mujeres,Trabajando
ID03150130241776,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150130451777,Private Transport,San Cristobal,Hombres,No está trabajando
ID03150140031806,Public-Informal,San Cristobal,Mujeres,Trabajando
ID03150140051811,Public transport,San Cristobal,Mujeres,Trabajando
ID03150140061807,TransMicable,San Cristobal,Mujeres,Oficios del hogar
ID03150140141809,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150140301810,Active Transport,San Cristobal,Hombres,Trabajando
ID03150150061797,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150150181798,Public transport,San Cristobal,Hombres,Trabajando
ID03150150241799,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150150331800,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150160060288,Public transport,San Cristobal,Hombres,Trabajando
ID03150160090291,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150160210293,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150160240290,Public transport,San Cristobal,Hombres,Trabajando
ID03150160330292,Active Transport,San Cristobal,Hombres,Trabajando
ID03150180031781,Public transport,San Cristobal,Mujeres,Trabajando
ID03150180061782,Active Transport,San Cristobal,Mujeres,No está trabajando
ID03150180481774,Public transport,San Cristobal,Mujeres,Estudiando
ID03150180511775,Public transport,San Cristobal,Hombres,No está trabajando
ID03150200061803,Public transport,San Cristobal,Hombres,Estudiando
ID03150200131801,Private Transport,San Cristobal,Hombres,Trabajando
ID03150200151802,Public transport,San Cristobal,Hombres,Estudiando
ID03150200211805,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150210090294,Public transport,San Cristobal,Hombres,Trabajando
ID03150210240279,Private Transport,San Cristobal,Mujeres,Trabajando
ID03150210270295,Private Transport,San Cristobal,Hombres,Trabajando
ID03150220180284,Public transport,San Cristobal,Hombres,Otros
ID03150220210285,Private Transport,San Cristobal,Hombres,Trabajando
ID03150220240286,Active Transport,San Cristobal,Hombres,Trabajando
ID03150220420287,Public transport,San Cristobal,Mujeres,Trabajando
ID03150240030800,Public transport,San Cristobal,Mujeres,Trabajando
ID03150240061551,Public transport,San Cristobal,Mujeres,Trabajando
ID03150240090549,Public transport,San Cristobal,Hombres,Trabajando
ID03150240120550,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150240240555,Public transport,San Cristobal,Hombres,Trabajando
ID03150240330801,Public transport,San Cristobal,Mujeres,Trabajando
ID03150240361550,Public transport,San Cristobal,Mujeres,Trabajando
ID03150240390805,Public transport,San Cristobal,Mujeres,Trabajando
ID03150260180277,Active Transport,San Cristobal,Hombres,Trabajando
ID03150260300282,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150260330308,Private Transport,San Cristobal,Hombres,Trabajando
ID03150260390278,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150260480298,Private Transport,San Cristobal,Hombres,Trabajando
ID03150300030299,Public transport,San Cristobal,Hombres,Trabajando
ID03150300180281,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03150300270289,Public transport,San Cristobal,Hombres,Trabajando
ID03150300300296,Public transport,San Cristobal,Hombres,Trabajando
ID03150310061770,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150310091771,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03150310351773,Public transport,San Cristobal,Hombres,Trabajando
ID03150340030302,Public transport,San Cristobal,Mujeres,Trabajando
ID03150340210309,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150340420306,Public transport,San Cristobal,Mujeres,Trabajando
ID03150340480305,Active Transport,San Cristobal,Mujeres,Trabajando
ID03150360271780,Public transport,San Cristobal,Mujeres,Trabajando
ID03150360301779,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150770091552,Private Transport,San Cristobal,Mujeres,Trabajando
ID03150770150551,Public transport,San Cristobal,Hombres,Trabajando
ID03150770210802,Public-Private,San Cristobal,Mujeres,Oficios del hogar
ID03150770270552,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150770330804,Public transport,San Cristobal,Hombres,No está trabajando
ID03150770360553,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150770390803,Public transport,San Cristobal,Mujeres,Trabajando
ID03150770411553,Public transport,San Cristobal,Hombres,Trabajando
ID03150770660554,Public transport,San Cristobal,Hombres,Trabajando
ID03150770721554,Active Transport,San Cristobal,Hombres,Trabajando
ID03150980150300,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150980210301,Private Transport,San Cristobal,Hombres,Trabajando
ID03150980240400,Public transport,San Cristobal,Hombres,Trabajando
ID03150980300304,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03150980360303,Public transport,San Cristobal,Hombres,Trabajando
ID03160010040520,Public transport,San Cristobal,Mujeres,Trabajando
ID03160010060271,Public transport,San Cristobal,Hombres,Trabajando
ID03160010060771,Public transport,San Cristobal,Mujeres,Trabajando
ID03160050030777,Public transport,San Cristobal,Hombres,No está trabajando
ID03160050051758,Public transport,San Cristobal,Hombres,Trabajando
ID03160050061521,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03160050061528,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160050080272,Public transport,San Cristobal,Mujeres,Estudiando
ID03160060020258,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160060020270,Private Transport,San Cristobal,Hombres,Trabajando
ID03160060050260,Public transport,San Cristobal,Hombres,Trabajando
ID03160060050262,Private Transport,San Cristobal,Hombres,Trabajando
ID03160110010510,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160110021520,Public transport,San Cristobal,Hombres,Trabajando
ID03160110060770,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03160110070509,Public transport,San Cristobal,Hombres,Trabajando
ID03160110070519,Public transport,San Cristobal,Hombres,Trabajando
ID03160490021764,Public transport,San Cristobal,Mujeres,Trabajando
ID03160490031522,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03160490051523,Private Transport,San Cristobal,Hombres,Trabajando
ID03160490090772,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160490120325,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160490180326,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03160490270327,Public-Private,San Cristobal,Mujeres,Trabajando
ID03160490330332,Private Transport,San Cristobal,Hombres,Trabajando
ID03160490360333,Public transport,San Cristobal,Mujeres,Trabajando
ID03160510060367,Public transport,San Cristobal,Mujeres,Trabajando
ID03160510090369,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160510270370,Active Transport,San Cristobal,Mujeres,Oficios del hogar
ID03160510390372,Public-Private,San Cristobal,Mujeres,Trabajando
ID03160610060759,Informal transport,San Cristobal,Mujeres,Trabajando
ID03160610090317,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03160610180319,Public transport,San Cristobal,Mujeres,Estudiando
ID03160610210320,Public transport,San Cristobal,Mujeres,Trabajando
ID03160610240321,Public transport,San Cristobal,Hombres,Trabajando
ID03160620010760,Public transport,San Cristobal,Mujeres,Trabajando
ID03160620010761,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03160620010763,Public transport,San Cristobal,Mujeres,Oficios del hogar
ID03160620030776,Public transport,San Cristobal,Hombres,Estudiando
ID03160620090512,Public transport,San Cristobal,Hombres,Trabajando
ID03160630011761,Public transport,San Cristobal,Hombres,Trabajando
ID03160630011762,Public transport,San Cristobal,Mujeres,Trabajando
ID03160630030329,Active Transport,San Cristobal,Mujeres,Trabajando
ID03160630031767,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03160630041759,Public transport,San Cristobal,Hombres,Trabajando
ID03160690041510,Public transport,San Cristobal,Mujeres,Trabajando
ID03160690041512,Public transport,San Cristobal,Hombres,Trabajando
ID03160690071508,Active Transport,San Cristobal,Hombres,Oficios del hogar
ID03160690081509,Public transport,San Cristobal,Mujeres,Trabajando
ID03160690091527,Active Transport,San Cristobal,Mujeres,Trabajando
ID03170010051765,Public transport,San Cristobal,Hombres,Oficios del hogar
ID03170010060322,Public transport,San Cristobal,Mujeres,Trabajando
