"","ID","localidad","TPC","Tpriv","Tinf","Bic","Cami","Trans","cocat","modes"
"1","ID03050090161991","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"2","ID03050090181992","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"3","ID03050090211993","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"4","ID03050090241994","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"5","ID03050090371995","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"6","ID03050110251976","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"7","ID03050110331977","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"8","ID03050120120928","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"9","ID03050130091978","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"10","ID03050130121979","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"11","ID03050130221980","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"12","ID03050140120920","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"13","ID03050140150921","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"14","ID03050140840930","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"15","ID03050170180924","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"16","ID03050170300925","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"17","ID03050170330927","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"18","ID03050170370934","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"19","ID03050170530935","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"20","ID03050230121990","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"21","ID03050450090936","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"22","ID03050450480941","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"23","ID03050740091984","San Cristóbal","","","","","","","","888"
"24","ID03050740131985","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"25","ID03050740221987","San Cristóbal","","","","","","","","888"
"26","ID03090070031931","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"27","ID03090070061932","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"28","ID03090070131934","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"29","ID03090070161935","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"30","ID03090110031926","San Cristóbal","","","","","Walk","","Walk","Active Transport"
"31","ID03090110061927","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"32","ID03090110191929","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"33","ID03090190071951","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"34","ID03090190121953","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"35","ID03090200031954","San Cristóbal","","","","","","","","888"
"36","ID03090200061955","San Cristóbal","","","","","","","","888"
"37","ID03090250071936","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"38","ID03090250101937","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"39","ID03090250121938","San Cristóbal","","","","","Walk","","Walk","Active Transport"
"40","ID03090250151939","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"41","ID03090250181940","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"42","ID03090270131946","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"43","ID03090270341949","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"44","ID03090280031941","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"45","ID03090280151942","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"46","ID03090280261943","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"47","ID03090280291947","San Cristóbal","","Private transport","","Bycicle","","","Private transport-Bycicle","Private Transport"
"48","ID03090280331944","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"49","ID03090300061960","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"50","ID03090300181961","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"51","ID03100020061923","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"52","ID03100020431915","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"53","ID03100090091918","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"54","ID03100090161920","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"55","ID03100100140610","San Cristóbal","","Private transport","","Bycicle","","","Private transport-Bycicle","Private Transport"
"56","ID03100100241599","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"57","ID03100100270611","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"58","ID03100100341602","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"59","ID03100120650870","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"60","ID03100120700872","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"61","ID03100120790919","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"62","ID03100140360860","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"63","ID03100140370862","San Cristóbal","","","","","Walk","","Walk","Active Transport"
"64","ID03100140420861","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"65","ID03100160030605","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"66","ID03100160181595","San Cristóbal","","Private transport","","Bycicle","","","Private transport-Bycicle","Private Transport"
"67","ID03100170390867","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"68","ID03100170550869","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"69","ID03100230301601","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"70","ID03100230360614","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"71","ID03100230690616","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"72","ID03100230781603","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"73","ID03100320040596","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"74","ID03100320091587","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"75","ID03100370031598","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"76","ID03100370070607","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"77","ID03100370091596","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"78","ID03100370150608","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"79","ID03100370280609","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"80","ID03100390361592","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"81","ID03100390400602","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"82","ID03100390480601","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"83","ID03100390571593","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"84","ID03100400031588","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"85","ID03100400160598","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"86","ID03100400190599","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"87","ID03100400281597","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"88","ID03100400311589","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"89","ID03100440030879","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"90","ID03100440130880","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"91","ID03100440370881","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"92","ID03100440450883","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"93","ID03100440580884","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"94","ID03100500220868","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"95","ID03100500360877","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"96","ID03100520160886","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"97","ID03100520500888","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"98","ID03110150060393","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"99","ID03110150270394","San Cristóbal","Public transport","","Informal transport","","","","Public transport-Informal transport","Public-Informal"
"100","ID03110150450395","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"101","ID03110220230854","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"102","ID03110220650857","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"103","ID03110220670858","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"104","ID03110220680866","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"105","ID03110240270852","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"106","ID03110240460853","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"107","ID03110250180396","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"108","ID03110250211911","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"109","ID03110250531914","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"110","ID03110260450874","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"111","ID03110260610876","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"112","ID03110260730923","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"113","ID03110280041689","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"114","ID03110280101893","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"115","ID03110280191894","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"116","ID03110280281896","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"117","ID03110290071903","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"118","ID03110290091902","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"119","ID03110290331905","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"120","ID03110290361906","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"121","ID03110320071582","San Cristóbal","Public transport","Private transport","","","","","Public transport-Private transport","Public-Private"
"122","ID03110320090592","San Cristóbal","","Private transport","","Bycicle","","","Private transport-Bycicle","Private Transport"
"123","ID03110320150594","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"124","ID03110320271584","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"125","ID03110330121909","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"126","ID03110330181910","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"127","ID03110330221916","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"128","ID03110340070593","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"129","ID03110340101583","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"130","ID03110340181585","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"131","ID03110340210595","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"132","ID03110460061577","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"133","ID03110460120587","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"134","ID03110460180588","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"135","ID03110460331579","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"136","ID03110460420589","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"137","ID03110480030590","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"138","ID03110480121580","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"139","ID03110480391581","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"140","ID03120020190913","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"141","ID03120020220904","San Cristóbal","","","","","Walk","","Walk","Active Transport"
"142","ID03120020240890","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"143","ID03120020370916","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"144","ID03120090091965","San Cristóbal","","","","","","","","888"
"145","ID03120130340910","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"146","ID03120130370914","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"147","ID03120130470915","San Cristóbal","","","","","Walk","","Walk","Active Transport"
"148","ID03120180031966","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"149","ID03120180191970","San Cristóbal","","","","","Walk","","Walk","Active Transport"
"150","ID03120180211969","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"151","ID03120240031622","San Cristóbal","","","","","","","","888"
"152","ID03120240160905","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"153","ID03120240200908","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"154","ID03120240230909","San Cristóbal","","","","","","","","888"
"155","ID03130060010895","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"156","ID03130060160897","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"157","ID03130060250898","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"158","ID03130060290899","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"159","ID03130070060900","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"160","ID03130070230902","San Cristóbal","","","","","","","","888"
"161","ID03130070280903","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"162","ID03130090031605","San Cristóbal","","","","","","","","888"
"163","ID03130090301606","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"164","ID03130090331607","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"165","ID03130090391608","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"166","ID03130100030618","San Cristóbal","","","","","Walk","","Walk","Active Transport"
"167","ID03130100070615","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"168","ID03130100210619","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"169","ID03130100240631","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"170","ID03130100820620","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"171","ID03130140121614","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"172","ID03130140571615","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"173","ID03130140690917","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"174","ID03130140760918","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"175","ID03130150040625","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"176","ID03130150130621","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"177","ID03130150450622","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"178","ID03130150570623","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"179","ID03130150690624","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"180","ID03130160091616","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"181","ID03130170180628","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"182","ID03130290131610","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"183","ID03130290391612","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"184","ID03130370330892","San Cristóbal","","Private transport","","Bycicle","","","Private transport-Bycicle","Private Transport"
"185","ID03130370420893","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"186","ID03130370440894","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"187","ID03130370780912","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"188","ID03140010271535","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"189","ID03140010301542","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"190","ID03140030150534","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"191","ID03140030210533","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"192","ID03140030240528","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"193","ID03140030270527","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"194","ID03140030300531","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"195","ID03140050060529","San Cristóbal","Public transport","Private transport","","","","","Public transport-Private transport","Public-Private"
"196","ID03140050090541","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"197","ID03140050120530","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"198","ID03140050330782","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"199","ID03140060090778","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"200","ID03140060390779","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"201","ID03140060490780","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"202","ID03140060530781","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"203","ID03140060561531","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"204","ID03140170151533","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"205","ID03140170330784","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"206","ID03140170390532","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"207","ID03140170420783","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"208","ID03140170561534","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"209","ID03140180240535","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"210","ID03140180420542","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"211","ID03140180450792","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"212","ID03140240151536","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"213","ID03140240180787","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"214","ID03140290060389","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"215","ID03140290120386","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"216","ID03140290180388","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"217","ID03140370060788","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"218","ID03140370181538","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"219","ID03140370300536","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"220","ID03140370331537","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"221","ID03140370360537","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"222","ID03140510121529","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"223","ID03140510150791","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"224","ID03140510390540","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"225","ID03140510421541","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"226","ID03150010030806","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"227","ID03150010061549","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"228","ID03150010090548","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"229","ID03150010180793","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"230","ID03150010210796","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"231","ID03150010301544","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
