ID,localidad,Sexo,ID_largo,viaje
1710,San Cristobal,Mujeres,ID03330060261710,3.8333333333333335
686,San Cristobal,Mujeres,ID03330160310686,3.739130434782609
870,San Cristobal,Mujeres,ID03100120650870,3.3846153846153846
552,San Cristobal,Mujeres,ID03150770270552,4.3
1554,San Cristobal,Hombres,ID03150770721554,2.625
528,San Cristobal,Mujeres,ID03140030240528,4.375
529,San Cristobal,Hombres,ID03140050060529,3.25
554,San Cristobal,Hombres,ID03150770660554,2.48
535,San Cristobal,Mujeres,ID03140180240535,1.75
551,San Cristobal,Hombres,ID03150770150551,4.5
548,San Cristobal,Mujeres,ID03150010090548,2.15
791,San Cristobal,Hombres,ID03140510150791,4.67948717948718
787,San Cristobal,Mujeres,ID03140240180787,4.25
805,San Cristobal,Mujeres,ID03150240390805,4.785714285714286
1540,San Cristobal,Mujeres,ID03150070391540,2.2
1546,San Cristobal,Mujeres,ID03150070121546,2.7
1538,San Cristobal,Mujeres,ID03140370181538,4.2105263157894735
1544,San Cristobal,Mujeres,ID03150010301544,3.2222222222222223
1542,San Cristobal,Mujeres,ID03140010301542,2.875
800,San Cristobal,Mujeres,ID03150240030800,2.5294117647058822
323,San Cristobal,Mujeres,ID03170140060323,1.5833333333333333
1838,San Cristobal,Mujeres,ID03310620101838,2.4
1852,San Cristobal,Mujeres,ID03190550061852,3.6
1868,San Cristobal,Mujeres,ID03190270031868,3.0526315789473686
386,San Cristobal,Mujeres,ID03140290120386,2.347826086956522
391,San Cristobal,Hombres,ID03110150210391,2.3
560,San Cristobal,Hombres,ID03190800010560,3.25
1896,San Cristobal,Mujeres,ID03110280281896,4.0
593,San Cristobal,Hombres,ID03110340070593,4.0
594,San Cristobal,Mujeres,ID03110320150594,5.142857142857143
1578,San Cristobal,Hombres,ID03110320041578,6.357142857142857
587,San Cristobal,Mujeres,ID03110460120587,2.833333333333333
616,San Cristobal,Mujeres,ID03100230690616,5.444444444444445
1571,San Cristobal,Hombres,ID03200200481571,3.0
1587,San Cristobal,Mujeres,ID03100320091587,2.1538461538461537
1592,San Cristobal,Mujeres,ID03100390361592,5.454545454545454
340,San Cristobal,Hombres,ID03190780090340,3.05
304,San Cristobal,Mujeres,ID03150980300304,4.0
293,San Cristobal,Mujeres,ID03150160210293,1.3333333333333333
298,San Cristobal,Hombres,ID03150260480298,5.0
308,San Cristobal,Hombres,ID03150260330308,5.052631578947368
312,San Cristobal,Mujeres,ID03170060090312,2.5454545454545454
290,San Cristobal,Hombres,ID03150160240290,7.266666666666667
850,San Cristobal,Hombres,ID03190170660850,5.418604651162791
1940,San Cristobal,Hombres,ID03090250181940,3.7916666666666665
859,San Cristobal,Hombres,ID03100140040859,5.363636363636363
329,San Cristobal,Mujeres,ID03160630030329,4.0
349,San Cristobal,Hombres,ID03190780360349,3.0
347,San Cristobal,Hombres,ID03190050150347,3.3
346,San Cristobal,Hombres,ID03190840240346,3.947368421052632
366,San Cristobal,Mujeres,ID03190520210366,5.25
841,San Cristobal,Hombres,ID03240871190841,5.666666666666667
837,San Cristobal,Mujeres,ID03240870800837,3.857142857142857
823,San Cristobal,Mujeres,ID03190260300823,1.8461538461538465
1811,San Cristobal,Mujeres,ID03150140051811,4.5
1798,San Cristobal,Hombres,ID03150150181798,2.75
1794,San Cristobal,Hombres,ID03150040151794,3.7142857142857135
1801,San Cristobal,Hombres,ID03150200131801,2.2222222222222223
1690,San Cristobal,Hombres,ID03210250311690,5.125
818,San Cristobal,Mujeres,ID03190610480818,2.888888888888889
997,San Cristobal,Hombres,ID03520540090997,2.4166666666666665
1938,San Cristobal,Mujeres,ID03090250121938,2.7142857142857144
1980,San Cristobal,Mujeres,ID03050130221980,4.923076923076923
872,San Cristobal,Hombres,ID03100120700872,3.8
954,San Cristobal,Mujeres,ID03560380150954,3.2
1695,San Cristobal,Mujeres,ID03210260271695,5.0
868,San Cristobal,Mujeres,ID03100500220868,3.5
1762,San Cristobal,Mujeres,ID03160630011762,3.142857142857143
1509,San Cristobal,Mujeres,ID03160690081509,7.818181818181818
757,San Cristobal,Mujeres,ID03170150040757,4.25
1751,San Cristobal,Hombres,ID03180130071751,3.410958904109589
755,San Cristobal,Mujeres,ID03180220020755,5.857142857142857
514,San Cristobal,Mujeres,ID03420730090514,3.8
768,San Cristobal,Mujeres,ID03420780090768,4.714285714285714
508,San Cristobal,Hombres,ID03170150070508,3.083333333333333
775,San Cristobal,Mujeres,ID03310240050775,4.571428571428571
1502,San Cristobal,Mujeres,ID03310740051502,4.714285714285714
512,San Cristobal,Hombres,ID03160620090512,3.647058823529412
531,San Cristobal,Mujeres,ID03140030300531,3.333333333333333
770,San Cristobal,Mujeres,ID03160110060770,1.5714285714285714
1520,San Cristobal,Hombres,ID03160110021520,3.1
517,San Cristobal,Hombres,ID03420780060517,3.6875
519,San Cristobal,Hombres,ID03160110070519,3.75
1504,San Cristobal,Hombres,ID03180190051504,5.642857142857143
752,San Cristobal,Hombres,ID03310700080752,3.933333333333333
753,San Cristobal,Mujeres,ID03180140020753,3.125
773,San Cristobal,Hombres,ID03170020080773,4.5
772,San Cristobal,Mujeres,ID03160490090772,5.428571428571429
536,San Cristobal,Mujeres,ID03140370300536,3.523809523809524
507,San Cristobal,Hombres,ID03170010090507,7.620689655172414
1764,San Cristobal,Mujeres,ID03160490021764,4.666666666666667
263,San Cristobal,Mujeres,ID03420640020263,2.5454545454545454
1767,San Cristobal,Hombres,ID03160630031767,5.181818181818182
1757,San Cristobal,Mujeres,ID03170160011757,2.727272727272727
272,San Cristobal,Mujeres,ID03160050080272,3.0
260,San Cristobal,Hombres,ID03160060050260,3.0588235294117645
1781,San Cristobal,Mujeres,ID03150180031781,2.25
2473,Ciudad Bolivar,Mujeres,ID15520940752473,1.7142857142857142
1306,Ciudad Bolivar,Hombres,ID15800350451306,4.578947368421052
2315,Ciudad Bolivar,Mujeres,ID15520620182315,3.25
2058,Ciudad Bolivar,Mujeres,ID15490650182058,1.7647058823529411
126,Ciudad Bolivar,Mujeres,ID15460210270126,4.083333333333333
153,Ciudad Bolivar,Mujeres,ID15390600090153,3.8
89,Ciudad Bolivar,Mujeres,ID15490330210089,3.2432432432432434
145,Ciudad Bolivar,Mujeres,ID15600520300145,3.7142857142857135
93,Ciudad Bolivar,Mujeres,ID15490660060093,3.5625
53,Ciudad Bolivar,Mujeres,ID15700670060053,2.7333333333333334
2056,Ciudad Bolivar,Hombres,ID15520590392056,3.615384615384616
2113,Ciudad Bolivar,Hombres,ID15020270152113,5.2
1085,Ciudad Bolivar,Mujeres,ID15520050271085,4.5
1416,Ciudad Bolivar,Mujeres,ID15530250121416,2.6
1428,Ciudad Bolivar,Hombres,ID15040320151428,4.785714285714286
2293,Ciudad Bolivar,Mujeres,ID15650260272293,1.5
2292,Ciudad Bolivar,Mujeres,ID15700730272292,5.7
1483,Ciudad Bolivar,Mujeres,ID15520950061483,3.363636363636364
2431,Ciudad Bolivar,Mujeres,ID15020420692431,3.409090909090909
1352,Ciudad Bolivar,Hombres,ID15460360271352,6.142857142857143
1333,Ciudad Bolivar,Mujeres,ID15390260331333,2.0
1326,Ciudad Bolivar,Hombres,ID15390360151326,4.545454545454546
2346,Ciudad Bolivar,Mujeres,ID15460730092346,2.272727272727273
1343,Ciudad Bolivar,Mujeres,ID15390730691343,2.833333333333333
1292,Ciudad Bolivar,Mujeres,ID15800350301292,3.9
2093,Ciudad Bolivar,Hombres,ID15530660062093,3.813953488372093
1427,Ciudad Bolivar,Mujeres,ID15040070181427,1.7
1107,Ciudad Bolivar,Hombres,ID15240220451107,3.602739726027397
1162,Ciudad Bolivar,Mujeres,ID15600630121162,1.0
2326,Ciudad Bolivar,Mujeres,ID15490370572326,2.8
